bathrooms,bedrooms,finishedsqft,price,totalrooms
1,2,1035,2500000,5
2,2,1001,240000,5
2,4,1726,455000,7
2,2,892,659000,4
1,1,800,760000,3
1,1,756,800000,3
1,2,728,900000,4
3,3,2169,918000,8
2,3,2044,950000,7
1,2,1075,975000,5
2,3,1106,1000000,5
2,2,660,1060000,4
2,2,1313,1125000,3
1,2,1336,1150000,5
1,1,1139,1199000,4
1,3,1425,1248000,6
4,9,1947,1250000,9
2,2,1200,1410000,6
2,3,1440,1275000,7
1,2,1896,1475000,3
2.5,3,1898,1492500,7
2,3,2001,1550000,9
2,3,1500,1895000,7
2,2,1988,2000000,7
2.5,3,1970,2200000,7
2,3,1540,2250000,6
3.5,4,3575,2400000,12
2,3,2052,3005000,6
5.25,8,6325,3600000,28
3,3,3073,4995000,7
4.5,5,4790,5600000,10
1,0,620,448000,2
2,2,1018,556000,5
2,2,1200,800000,6
1,1,632,615000,3
4,5,2250,850000,9
1,1,1258,888000,4
2,2,1183,1160000,5
2,2,1310,1410000,3
2,3,1593,1620000,6
2,2,1413,1625000,5
3,3,3550,1700000,8
5,5,2600,1808000,10
2,2,1612,2000000,17
2.25,3,2300,2250000,8
2,3,2144,2600000,8
1,1,701,593200,4
1,0,875,655000,5
1,1,722,695000,3
2,2,1016,700000,6
3,3,1575,760000,6
1,1,780,785000,3
1,2,1370,998000,6
1,2,919,1060000,5
3,2,1652,1175000,5
1,2,1191,1223500,6
1,1,1089,1260000,4
2,2,1362,1262000,4
1.5,3,1264,1400000,6
2,3,1817,1410000,6
1,3,1446,1650000,7
3,3,1958,1800000,9
2.5,3,1505,2100000,8
2,3,1100,2160000,5
2,4,1697,2205000,5
3,4,2850,3100000,7
6,4,3709,4975000,10
1,1,844,890000,3
1,1,660,690000,3
1.5,2,1250,1425000,6
1.5,2,1163,1310000,4
2,3,2320,5200000,8
1,2,1284,1300000,6
1,2,1085,610000,5
2,3,2394,910000,13
3.5,3,3350,2475000,10
3,4,1227,620000,6
1,3,1179,635000,6
2,2,1001,1195000,5
1,1,1200,815000,4
2,3,1431,1200000,6
2,2,1412,1850000,5
3,3,2200,1810000,10
1,1,588,560000,4
3,4,1697,825000,8
2,3,1320,1400000,5
1,2,1180,950000,5
2,2,1575,1500000,4
2.25,4,2500,1900000,10
2,4,2352,1100000,8
1,2,1525,2430000,6
2,3,1300,1110000,5
1,2,815,782000,4
1,2,3430,3150000,13
1,2,750,560000,4
4,5,2829,1305000,13
1,2,1300,1010000,6
1,2,821,885000,5
3,5,3320,1795000,12
4,4,3200,6175000,9
4.5,6,6850,6700000,12
3,3,1295,1140000,6
1,3,1328,1011000,6
2,4,1832,1210000,8
2,3,1276,1150000,8
2,2,988,595000,4
2,3,1415,1325000,6
1,3,1137,610000,6
1,1,650,605000,3
2,2,1029,1156000,5
3,3,1874,693000,7
3.5,3,3036,5650000,8
1.5,3,971,531000,8
2.5,2,1427,2730000,5
1,1,795,869000,3
1,3,1109,699000,5
1,1,894,920000,4
1,2,852,1210000,4
2,1,1298,1110000,3
2.5,3,1842,1600000,6
2,4,2402,475000,8
1,2,872,1000000,4
2,3,1419,1590000,5
2.5,3,1944,2410000,7
4.5,4,3100,4800000,6
2,4,1824,1700000,6
2,3,1598,925000,6
3,4,2330,870000,8
1,2,929,969000,5
2,3,1562,1580000,6
2.5,3,2750,835000,8
1,0,419,700000,2
3,4,2885,1930000,10
1,3,1643,1360500,6
1,2,789,972000,5
2,3,2096,2500000,6
1,1,550,275000,3
5,5,3685,2895000,9
1,2,1175,1060000,4
1,3,1000,736000,5
1,1,526,405000,2
1,0,536,575000,3
1.5,1,740,960000,4
2,2,1106,1268000,4
1,3,1300,570000,6
2,3,1759,1100000,12
5.5,5,4000,5200000,12
2,2,949,728500,5
1.5,2,1260,1650000,5
1.5,2,1106,1050000,10
2,3,1466,1780000,7
1,1,885,232000,3
2,2,1472,1485000,5
1,2,920,990000,9
2,2,1100,1400000,5
2,3,1942,2306000,6
1,2,1100,635000,5
2,3,1200,775000,6
3,4,2300,2750000,7
3,4,2407,2200000,6
2,2,1655,310000,6
1,2,1350,1000000,5
3.5,5,3300,4500000,10
3.5,4,3013,1820000,11
3,4,2050,1350000,8
4,6,2482,1465000,14
3,3,2454,2050000,6
2,3,1639,1850000,5
2,3,1836,1050000,8
2,1,1550,1135000,6
2,3,1700,1603000,6
1.5,2,1330,1200000,4
2,3,1714,1815000,4
1,2,1155,650000,5
1,2,1180,820000,5
1,2,1365,1555000,7
1,2,1700,1950000,5
7,7,10236,23889000,28
1,2,1174,1350000,5
3,3,2003,1825000,7
3,4,2503,2500000,6
2.5,3,1993,2250000,6
2.5,3,2247,3000000,5
1,2,792,635000,5
1.5,1,1039,901000,1
2.5,2,1381,1850000,6
1,2,1222,810000,5
1,2,936,670000,5
1,1,662,742345,4
2,3,2094,915000,9
2,3,3074,4400000,8
2.5,3,1890,1550000,7
5.75,7,6807,6285000,23
3,3,2350,1000000,10
4,6,2000,750000,9
1,1,570,660000,4
1.5,1,714,686000,5
2,1,818,782000,3
1,0,566,540000,2
1,2,800,1380500,4
2,3,1800,1015000,5
1.5,3,1675,2550000,6
2,4,1945,3250000,7
1,2,1231,950000,5
2,2,983,1050000,4
1,1,533,575000,3
3.5,5,1500,926500,6
2,2,1000,1475000,5
2,2,942,760000,4
1,1,600,625000,3
2,3,1370,2100000,5
3.5,4,3037,4350000,10
2,3,944,790000,4
2.5,3,2648,2619000,9
3,4,2960,3398000,9
1,1,737,700000,3
1,1,819,1179000,3
1,1,602,575000,3
3,2,1147,1333333,5
1,2,1245,1100000,6
2,3,1674,955500,6
1,2,1137,925000,5
2,2,1310,1410000,4
2,5,1723,1250000,20
2,4,1405,960000,9
1,2,1150,535000,5
1,1,658,649000,3
1,1,755,1059000,3
2.5,2,1762,1900000,6
1,2,779,740000,4
2,2,1657,1700000,6
1,3,1400,730000,8
3.5,3,2756,3700000,8
2,2,1873,2275000,6
2,3,2180,906667,8
1,2,983,285000,4
2,2,1451,1410000,5
2,3,1054,1315000,6
2.5,3,1565,2000000,6
2,2,1718,1400000,5
4.5,5,5600,4611000,10
1,2,995,375000,6
3,4,2754,1800000,7
1,2,1050,1050000,5
4,4,4206,4700000,11
2.5,2,1760,1110000,6
1,1,912,815000,4
2,3,1712,2300000,6
2,3,1847,1451000,7
2,3,1213,1025000,5
2,4,3050,2200000,10
4,5,3646,2425500,11
1.1,3,1605,930000,6
4.5,4,3511,3500000,8
2,2,2010,1525000,1
3,4,1579,830000,9
1,3,1265,925000,6
2,3,1582,2135000,7
4.5,5,1637,1000000,7
1.5,2,835,1070000,4
2,2,1001,1000000,5
1,2,983,285000,4
2,2,1559,1600000,4
1,1,804,850000,4
2,2,1635,1605000,4
3,3,2700,2275000,7
1,2,1216,1150000,5
2,2,1035,1003000,5
2,2,1222,1200000,4
1,2,1137,850500,5
4.5,5,4680,3400000,11
2.5,2,1899,1330000,7
1,1,803,855000,3
2,2,1613,3475000,5
2,4,1015,640000,5
1.5,2,1460,1200000,5
1.5,1,610,555000,3
1,3,880,735000,5
1,3,1460,885000,7
1,1,755,1079000,3
1.5,1,1126,1090000,2
1,2,1242,1216000,4
3,3,2173,780000,7
3,3,1409,820000,8
1,2,925,1015000,5
2.5,3,2177,1900000,5
2,3,1650,2100000,5
1,2,1125,815000,5
1,2,1034,1133000,4
3.5,4,2260,4650000,7
3.5,4,1995,1000000,7
2,2,1287,1708000,4
3.5,4,2564,2500000,6
1,2,500,485000,4
4,8,2226,1250000,7
1,2,1046,1300000,5
2,2,953,745000,4
1,1,701,709000,5
3.5,4,2715,1900000,9
3,4,2467,2100000,6
3,4,2100,1300000,7
1,1,670,705000,4
3,3,1780,1500000,5
3,3,1540,835000,6
1,1,736,653000,3
4.5,5,4825,7875000,10
6.5,6,6520,10995000,14
2,2,1475,898000,5
1,2,1560,1300000,6
3,4,1518,1260000,7
2,4,2210,1800000,8
2.5,2,1186,1465000,4
2,4,1620,1200000,8
3,2,1643,1700000,7
4.5,5,1502,5995000,7
1,2,1225,1100000,5
2.5,3,1652,1350000,5
1,2,1125,810000,5
2,2,1001,779000,5
2,2,1201,1200000,4
4,4,2300,1250000,6
2,2,1244,451500,8
2,5,2750,715000,7
2,3,1800,850316,5
1.5,2,1540,1995000,6
2.5,3,1341,3750000,5
1,2,1018,1000000,5
1,2,1050,1100000,5
2.25,3,1400,1100000,5
2,4,2470,1550000,8
4,4,2225,1620000,6
3,2,1564,1172000,6
2,3,1870,1190000,7
3,3,1989,1200000,8
3,3,2050,2610000,7
2,2,1145,1050000,5
2,2,1140,860000,5
3,4,2427,1268000,8
2,2,1001,939000,5
2,2,1170,1090000,5
2,3,1440,2150000,6
1,2,858,875000,4
1,2,865,820000,5
1,3,1066,1265000,6
1,1,819,1288000,3
2,3,2345,2300000,8
2,2,1003,249000,5
2,2,953,1120000,5
2,2,975,1200000,5
3,3,1718,1087500,7
1,1,720,860000,3
2,4,1800,960000,8
2,3,2238,1650000,7
2,2,1270,1450000,8
2,3,2144,2600000,10
1,1,675,845000,3
2.5,3,1460,1500000,9
1,1,687,850000,4
1.5,1,1005,940000,4
3.5,3,2435,2450000,8
2,4,2600,970000,10
1,1,747,1000000,3
1,2,800,731500,4
1,2,1280,1925000,5
5,6,3433,960000,13
1,2,1565,1215000,7
1,3,1200,1015000,6
4.5,4,3692,2375000,7
2,2,1001,959000,5
2,2,1001,2549000,5
2.5,2,1777,2600000,5
1,1,851,750000,3
1.5,2,1432,1400000,6
3,2,1370,1100000,4
1,2,1700,700000,5
3.5,3,2600,2500000,7
2,2,1100,1450000,5
3,3,1453,1213000,6
4,5,3404,3000000,12
1,2,885,560000,4
1.5,2,1366,1000000,7
2,2,1100,1110000,5
2,3,2220,1915000,6
2,2,1150,2500000,5
1,2,830,635000,4
2,2,1139,1110000,4
2,2,2904,1050000,14
3,3,2303,818000,9
1,1,751,585000,3
2,2,1151,1045000,4
1,1,900,805000,4
1.5,3,1640,1827000,7
2,4,1580,908000,8
2.5,3,1950,2250500,6
2,2,1259,1507500,5
1,2,1045,1170000,5
3.5,3,2280,1700000,7
1,1,748,660000,3
2,3,1360,1130000,6
2,2,1013,1125000,4
2,2,1136,840000,5
4,4,2622,1550000,6
1,1,724,545000,3
1,1,750,905000,5
2,2,983,1300000,4
2,2,1037,1425000,4
2,4,1850,969000,8
2,3,1718,1208000,6
3,4,1800,1800000,9
1,2,1050,650000,5
2,2,1150,1226000,5
2,3,1050,1380000,5
4.5,4,2993,2100000,7
1,1,865,785000,4
2,3,1270,990000,6
2,3,1617,1375000,6
2,2,1398,1360000,5
2,3,1152,1050000,5
4,4,2255,3995000,5
2,3,1375,730000,6
1,4,750,750000,4
2,2,1481,1050000,5
1,2,1200,548000,6
2.5,3,1400,830000,6
1,1,625,730000,4
1,2,1290,670000,5
2.5,3,2016,1500000,7
1,1,658,700000,3
1,1,755,915000,3
2,3,1845,1335000,9
2,3,764,1605000,4
1,1,750,700000,3
4,6,2760,1850000,10
3,3,2054,2150000,6
2,2,1090,1295000,5
3,3,2237,760000,8
1,1,670,770000,3
2,3,1616,1800000,6
1,2,1209,582500,6
1,1,777,830000,4
1,3,1228,720000,5
1,3,1019,1500000,5
1,1,724,571000,3
2,2,882,901000,4
1.5,1,912,925000,2
1,1,760,905000,3
1,2,780,350000,5
1,2,1000,540000,5
2,3,1124,730000,5
2,3,1300,681000,6
1,1,670,479500,3
2,2,1003,315500,5
2,2,1130,1600000,5
2,3,1689,1100000,6
2,2,2027,2600000,4
2,3,1771,1850000,7
3,2,2213,3000000,6
1,2,1125,685000,5
2,4,1660,742000,10
2,3,1583,1255000,6
4.5,4,2266,2018000,7
2,2,948,558000,4
1,1,383,450000,2
2,2,1507,1115000,7
1,1,837,257000,4
3,3,1901,2250000,7
3,3,1494,690000,7
1,1,725,744000,3
1,3,875,920000,5
1,3,1600,1100000,7
2.5,4,2000,1350000,6
3,4,1832,1799000,7
2,4,1700,1900000,8
1.5,3,2670,2455000,7
2,3,2128,2460000,6
3,3,2723,1620000,7
1.5,2,825,1175000,5
1,2,1564,1400000,5
2,4,2640,2700000,8
1,1,695,605000,3
2,2,979,1100000,5
3,1,6000,1420000,10
1,2,1125,1465000,4
1,2,1196,650000,6
1,2,744,496000,4
2,3,1842,955000,8
2.5,4,1850,1350000,6
2,5,1637,728000,7
2,2,950,1199000,4
1,1,909,734500,3
2,2,1090,1688000,4
2,3,1420,1200000,7
2.5,3,1890,675000,7
1,1,753,209888,3
3,5,2000,1480000,9
1,1,900,630000,3
1,1,677,680000,3
2,3,2247,883500,8
2,3,1250,1100000,6
2,2,1480,1650000,6
1,1,835,825000,3
3,5,2533,1210000,8
1,2,1300,988000,5
2,4,2836,2400000,11
3,4,1480,1600500,14
3,2,1842,1200000,7
2,2,1128,1500000,4
1,2,956,650000,5
1,3,1280,975000,7
1,1,538,640000,2
1,1,1300,1330000,9
2,3,1600,1600000,7
1,1,683,695000,3
2.25,3,1702,1400000,6
1,2,1390,790000,5
1,1,510,350000,4
3,4,1482,580000,7
1,2,1098,1079000,6
1,3,1078,880000,6
2,3,1447,422000,6
1,1,730,590000,3
1,1,695,616000,3
3,3,2414,1240000,8
2,2,750,688000,4
1,2,1259,805000,5
2,2,3800,2525000,10
1,1,830,610000,3
1,2,800,775000,6
1,3,1248,725000,5
2,3,1700,1358000,7
1.5,3,1400,1450000,6
1,1,733,560000,2
1,1,563,500000,2
2.5,3,1750,2115000,5
2,3,1470,775000,6
1,2,1125,1700000,5
2,3,1123,705000,6
5,3,2910,780000,11
4,3,3131,10000,8
1,1,744,555000,3
1,2,1243,775000,5
1,1,755,688000,3
1,1,927,920000,4
3.5,4,3335,1500000,7
1,1,650,615000,3
2.5,4,1125,900000,5
1,1,1115,915000,5
2,4,2010,980000,8
1,2,1192,1159000,5
2,4,2369,5200000,12
4,4,2160,1000000,9
1,2,1778,1415000,6
1,3,1008,649000,6
2,3,1065,1250000,5
1.5,2,1043,1450000,5
2,2,974,575000,4
2,3,1675,695000,6
2,2,1001,1320000,5
2,2,1500,1025000,5
2,2,1131,1035000,5
4,4,3800,1775000,16
1,1,852,800000,3
1,2,978,1130000,5
5,5,2417,925000,8
2,3,1404,1050000,5
3,3,5058,1810000,16
1,2,1442,1245000,5
2,2,1410,1075000,5
1,2,1425,885000,7
3,3,1892,1455000,8
2,3,1425,825000,6
2.5,4,2215,1900000,10
3,4,1900,1450000,7
1,1,874,1140000,3
1,2,1360,1465000,6
2,3,1412,1767000,5
1,1,774,749000,4
2,2,1500,975000,5
2,2,1275,1050000,5
1,1,884,900000,3
5.5,7,2600,7500000,15
3,4,1610,1125000,9
2,2,1049,1098000,4
3,3,2952,3900000,8
2,1,726,729000,4
2,2,1304,1112000,5
1,1,605,460000,3
1,1,655,625000,3
1,2,1420,1450000,5
3,5,2700,1795000,9
1,1,558,443000,2
2,2,836,749000,3
2,2,928,925000,4
1.5,4,1824,1075000,7
1,2,815,325000,4
2,3,1244,850000,6
1,2,825,550000,4
2,3,2473,1050000,10
2,3,2238,1850000,9
3,4,2627,1665000,8
2,3,1994,2175000,8
3,6,3651,1600000,8
2,4,1983,902000,7
2,3,1030,1438500,5
1,3,1213,700000,5
3,4,2896,765500,10
1,0,410,424500,1
2,3,1320,1200000,7
1,2,1125,805000,5
1.5,1,1104,885000,4
3,6,2480,827500,10
1,3,1214,900000,5
1,1,894,530000,3
4.5,4,2334,1550000,7
3,4,2100,1010000,8
2,2,1130,1600000,5
3.5,3,2550,2510000,6
4.5,5,4400,3817000,11
1,0,480,215500,3
2,4,1273,660000,6
2,3,1545,2285000,6
2,3,1626,1050000,5
1.5,3,1520,1100000,6
2,2,1263,1050000,2
1,1,795,685000,2
1,1,819,1075000,3
1,1,264,389000,2
2,2,1285,1150000,5
1.5,2,866,446000,5
2.2,2,1452,1075000,8
2,4,1850,660000,7
1,2,1175,800000,5
2.5,4,2074,635000,8
3,4,2500,1999000,9
1.5,2,2392,1205000,6
2,2,1980,3225000,5
1,2,1125,654000,5
1,2,922,827000,4
1,0,432,545000,1
1,3,1525,1230000,6
2.5,2,2272,2735000,6
1,1,812,736500,3
4,2,1932,1330000,7
2,3,1550,1082000,6
3,6,3010,2195000,9
2,4,1380,688000,6
3.5,3,2105,1600000,6
2,2,1257,960000,4
1,3,1169,750000,5
1,0,2516,825000,8
2,3,1058,970000,5
2,2,1100,875000,5
7.5,7,8335,6500000,18
2,3,1525,908000,6
1,4,1824,1850000,7
2,4,2300,2800000,11
3,6,4000,2400000,17
5,5,5500,1684000,16
2,2,1768,2575000,6
3,6,1624,850000,8
2,3,1518,1370000,7
2,1,1700,1175000,7
2,0,2500,848000,9
1,1,728,761000,4
2,2,1073,1100000,5
2,3,1300,350000,5
2,3,1474,685000,5
2,3,1212,670000,4
1,3,1125,690000,6
3,3,1871,1160000,7
2.5,2,1284,1318000,5
2,2,1145,739500,5
2,2,1001,1125000,5
2,2,1105,1050000,5
1,1,658,505000,3
2.5,4,3400,1850000,9
3.5,3,1876,2325000,8
1,2,1041,830000,4
1,3,2518,1760000,9
1,1,1068,1165000,5
2,2,1128,1450000,4
2,1,1123,1050000,3
2,2,1983,1270000,5
2,2,1472,1485000,5
1,3,1762,1337000,7
1.5,3,836,685000,4
2,3,1565,1135000,4
1,2,1162,800000,5
1,2,1060,850000,5
4,6,3234,2450000,12
5,9,3550,2600000,17
2,4,1932,1175000,8
1,2,1050,762000,5
3.5,3,1755,2050000,6
1,1,513,388000,3
2,3,1250,1448000,5
3,2,1451,1315000,5
1,1,832,735000,3
1,1,947,1020000,4
4,5,2600,3450000,7
3.5,5,2768,1408000,10
1.5,3,1930,1237500,7
5,7,4690,2123000,13
3,4,2446,3200000,8
2,3,1464,817000,7
2,3,1629,1505000,6
3,4,2669,1600000,6
4.5,4,4400,3575000,9
1,3,1375,576000,6
2,3,1552,830000,6
1,3,1439,1160000,6
2,3,1450,1000000,6
2,4,1835,1250000,8
2,2,1181,1010000,5
1,2,997,640000,4
1,1,837,1149000,3
2,2,911,888500,4
1,1,940,740000,4
1,2,1056,1125000,5
1,2,1130,1150000,5
1,2,1100,200000,5
1,2,1548,1325000,6
2,2,1063,1651000,6
1,3,1833,1995000,6
1,2,1132,820000,5
4,6,3715,1845000,16
3,4,2860,1650000,7
2,0,3480,1305000,12
3,4,2247,1375000,9
2,4,3100,2900000,12
2,2,1688,928000,6
2,3,2080,1549000,7
2,3,1650,1600000,6
3,4,2075,670000,7
1,2,1196,755000,5
2,3,1191,1650000,5
3,4,2250,2100000,11
3,3,2500,2350000,12
1,1,784,412000,3
1,3,1044,680000,5
2,2,1000,725000,4
1,2,1050,875000,5
2,2,1034,570000,4
2,3,1300,710000,6
1,2,1100,1050000,5
1,1,724,730000,4
1,2,820,970000,4
2,2,1372,1175000,5
2,1,843,818000,3
1,1,801,890000,3
2,2,930,1106000,4
2,1,1211,1050000,6
2,5,2083,920000,8
2,4,2092,940000,7
1,1,914,890000,4
2,3,1921,1812000,6
1,2,1250,950000,6
2,2,998,925000,7
3,4,2158,1025000,7
2,2,1120,1325000,5
2,2,1220,1464000,6
2.5,2,2225,2475000,7
6,6,4332,3849000,16
1,2,775,600000,4
2,3,1432,710000,6
1,2,1125,738000,5
2,3,1059,792000,5
3,6,4120,1500000,14
1.5,3,1360,715000,5
2.5,3,1852,1380000,7
2,7,2940,2100000,13
1,1,796,440000,4
1.5,3,1320,825000,6
1,3,1365,860000,6
1,1,719,820000,3
2,2,1120,1325000,5
4,4,3145,3250000,7
2,2,968,1165000,5
2.5,2,1700,1657500,5
2,2,1403,1190000,5
2,2,1550,1611500,4
4,7,4903,14000000,11
2,1,1002,650000,3
1,1,440,915000,2
2,3,1412,1150000,6
1.75,3,1420,1400000,6
2,3,2400,1810000,11
1,4,1749,663000,8
2,2,1070,665000,5
2,3,1297,800000,5
1,1,666,303017,3
3.5,4,2853,3350000,8
1,2,1325,998000,5
4,4,2504,1100000,8
1.5,2,1575,1150000,7
1,1,690,675000,3
2.5,2,1396,1525000,9
2,6,3130,460000,12
2,3,1966,1450000,6
1,2,915,650000,5
1,2,1420,875000,6
3,5,2275,1350000,8
2,2,1195,1239000,5
2,2,1090,1295000,5
2,3,2200,2325000,7
2,2,1192,1340000,5
2,4,1290,400000,7
1,2,1050,750000,5
2,2,1310,1342000,7
2,2,959,500000,4
1,1,752,749000,4
2,2,1230,820000,3
2,1,1565,1700000,5
2,3,1390,1400000,6
1,1,936,738000,4
4.5,5,4300,8750000,11
2,3,919,1005000,5
1,3,2060,1300000,6
1,2,860,815000,4
1,0,2190,915000,8
2,2,1019,951000,5
2.5,2,1204,1010000,5
3,4,2459,1713000,9
1,3,1361,1050000,7
2,1,1000,990000,4
2,2,1318,1250000,5
2,3,1725,1441000,6
1,2,1037,780000,4
1,1,1000,1175000,5
2.25,2,1475,1190000,5
3,2,1662,1850000,5
3,3,2499,1500000,8
2,3,1,1930000,6
2,3,1350,620000,8
1,1,903,770000,3
2,3,910,1750000,6
2,2,1300,1100000,6
2,2,1737,2001000,7
1,2,1440,1100000,5
1,3,1321,1200000,6
2,2,1384,1275000,4
2,2,1041,900000,4
1,2,1525,1200000,5
2,3,1300,992000,6
3,3,1600,577000,8
3,5,3200,1250000,9
2.5,2,1180,1050000,4
1.5,3,1600,1350000,6
2,3,1500,1462500,5
2,2,1001,950000,5
3,4,1865,1125000,6
2,1,826,805000,3
2,3,2200,1436000,11
1,1,1236,1150000,4
2,2,1001,1600000,5
2,2,1115,1000000,5
3,6,1575,995000,8
1,2,950,899000,5
2,2,1340,1300000,7
3,9,4050,1450000,15
3.5,4,1364,1475000,6
2,3,1432,708000,5
1,1,735,650000,3
1,2,1372,1700000,5
2.5,3,2143,1900000,8
1,1,659,240053,3
1,2,1012,775000,4
2,3,1362,910000,6
1,2,1375,939000,5
3,3,1681,1550000,5
2,3,1290,1205000,6
1,2,1125,889000,5
2,2,1222,1279000,5
2,2,1220,1345000,5
1,2,1064,962000,5
1,2,1486,1250000,5
3,3,2100,1300000,6
1,1,1103,558000,4
3,3,2053,2600000,6
4,4,1717,1006000,8
1.5,3,962,701000,4
1,1,1100,1800000,12
1,1,701,790000,4
6,5,3485,5050000,7
2,3,1468,1649000,6
1,3,1640,1350500,6
2.5,3,1678,960000,6
3,6,1680,728000,9
2,2,2100,2000000,4
2,3,1622,905000,6
1,2,1579,1025000,5
2,2,1104,1015000,5
2.75,3,2275,1765000,7
2,2,1009,1250000,5
3,3,2103,553000,7
2,2,1198,790000,5
1,3,1325,865000,5
1,2,1145,1100000,6
1,1,585,242233,3
2,2,1104,1020000,5
2,4,1740,1130000,7
2,3,1500,1670000,7
2.5,4,2625,1795000,8
2,3,1852,1127000,7
2.3,3,1450,950000,5
2,2,1220,1345000,5
1.25,2,1335,1500000,5
3,2,1718,1265000,7
1,2,936,995000,4
3,4,1563,1251000,7
2,2,1068,575000,5
2.5,4,1850,925000,8
3,3,1450,952000,6
1,1,946,870000,4
1,1,797,685000,3
1,1,882,649000,3
1,1,791,800000,5
2,2,1370,720000,6
1,2,1353,1500000,7
2.5,3,2440,1280000,7
3,5,2954,1950000,7
1.5,3,1481,1065000,8
2,3,1700,1579000,7
2,3,1605,12000,5
2,2,1001,940000,5
1,2,1049,885000,5
2.5,2,1850,1420000,8
1,1,801,750000,4
2,3,1678,1410000,7
2,2,1130,1255000,4
2,2,1367,1275000,4
2,3,1650,1056000,7
2,3,1450,1240000,6
2,3,1585,1220000,7
2,2,1001,1320000,5
3,2,2031,1000000,7
1,1,852,875000,3
2.5,2,1628,995000,4
2,2,1500,1760000,8
2,2,1460,1355000,18
1,2,925,715000,5
2,3,2137,2200000,7
2,2,996,540000,4
1,1,1150,701000,5
2,2,1835,950000,5
1,2,1150,950000,5
3,4,3234,2087500,10
1,2,1128,900000,4
2,4,1000,1000000,7
5,5,3863,4999500,10
1,3,1498,658000,7
3,4,1519,755000,7
2.5,4,2942,3600000,9
1,2,1275,1045000,5
3,5,4692,3807000,10
2,4,1673,975000,7
2,3,1856,1371000,6
2,3,1400,1080000,6
1,1,608,548000,3
1,1,676,560000,3
2,2,1031,1031000,4
1,1,1240,1200000,4
2,2,1859,1700000,5
2,2,2052,3300000,4
1,1,650,688000,3
2,2,1102,1110000,4
2,2,1500,1185000,5
1,1,912,815000,4
1,1,670,800000,4
1,2,1164,1160000,5
1,1,750,739000,4
2,3,1545,1250000,5
2,2,1098,1300000,7
1,2,1264,1680000,6
1,1,659,271618,3
2,2,1100,1250000,4
1,2,1175,875000,5
1,3,1500,950000,6
6.5,4,3700,1600000,8
4,4,5172,4999500,13
3.5,4,3144,7100000,8
1,1,580,152500,3
2,4,2300,651000,10
1,2,858,875000,4
2,3,1484,805000,6
2,3,1100,949000,6
1,2,1150,820000,6
2.5,4,2867,1500000,13
2.5,4,1728,500000,7
1,2,850,640000,4
1,2,1125,750000,5
1,1,866,888000,3
1,1,746,1121000,3
2,2,1340,1350000,5
1,1,1000,1025000,4
1,1,766,830000,2
2,3,3000,3800000,7
1,1,666,303017,3
2,4,1850,898000,5
2,3,2750,1603432,8
2.5,5,2362,1900000,10
1,1,828,1009000,4
2,2,1829,2100000,6
2,3,1805,2475000,7
2,2,2100,1380000,5
2,3,1577,1675000,7
1,0,432,485000,1
1,1,710,915000,3
1,2,801,725000,3
1.5,1,1044,780000,6
2,3,1062,1565000,5
2,2,1378,1150000,5
4,4,3000,1410000,15
2,3,1870,1975000,6
2,3,2555,2525000,6
3.5,4,2015,2810000,8
1,3,1550,890000,6
1,1,574,630000,2
2,2,1171,1230000,7
4,2,1727,711000,7
1,0,592,415000,2
1,2,1040,1050000,4
3,5,2540,1090000,9
1,1,822,660000,3
1,1,541,405000,3
1,2,815,860000,5
2,1,1017,830000,3
1,3,1250,1360000,5
1,2,1250,700000,5
2,3,1432,768000,6
2,4,1643,903000,7
1.5,2,1595,1350000,5
3,3,3082,2250000,9
2,2,1223,780000,5
1.5,2,1436,2326000,5
1,2,1197,1060000,5
1,2,1175,690000,5
3,4,3700,2850000,13
4,4,1900,1538000,8
1,1,669,390000,3
2,4,1375,735000,7
1,1,518,388000,2
2,1,768,724000,3
1,2,1386,1670000,6
1,0,650,500000,2
3,4,2500,3300000,7
1,1,700,270000,3
2,2,1211,999500,5
3,5,2235,1040000,14
1.5,3,1660,1115000,6
1.5,3,1850,1165000,4
2,4,1616,815000,7
2.5,3,1782,850000,7
2.5,3,1822,1325000,6
2,4,2200,1875000,14
2.5,3,1800,2400000,10
1,2,1434,1400000,5
1,2,850,720000,4
1,2,850,850000,4
1,2,1500,915000,5
1,2,1275,1235000,6
2.5,3,1825,1790000,5
2,3,2500,3422500,8
1,2,1018,502500,5
5,6,2864,605000,13
2,2,1175,725000,4
2,3,1900,1735000,5
2,3,1596,1740000,5
2,3,2073,1000000,7
2,1,1151,1715000,4
1,2,980,712000,6
2,2,1210,910000,4
2,2,892,612000,5
1.5,1,942,888000,3
2,2,1718,1400000,5
2,3,1012,1225888,5
2.5,2,1910,2025000,7
1,1,638,485000,2
3,4,2340,1295000,8
1.25,3,1608,1531000,7
1,3,1280,751000,6
3.5,3,2395,2975000,6
2,2,1559,1500000,4
1,1,822,690000,3
3,3,1478,1662000,6
4,3,2805,3525000,4
1,1,1109,790000,4
2.5,3,2667,1850000,10
4,4,1800,1175000,8
1,2,1400,576000,6
2,2,1769,1300000,4
3,4,2296,1448000,9
3,5,1467,1000000,6
2.5,4,2668,3800000,10
2,3,2000,825000,4
2,3,1250,680000,5
3,7,3655,1470000,16
2,2,964,1050000,7
1,1,1115,1155000,5
2,2,1752,1825000,5
1,3,1449,1350000,7
2,3,1395,1515000,6
2,4,2101,1038000,6
